Date,Price
2009-04-02,61.290836334228516
2009-04-03,61.900543212890625
2009-04-06,61.415679931640625
2009-04-07,59.9831657409668
2009-04-08,60.629615783691406
2009-04-09,63.03924560546875
2009-04-13,63.053958892822266
2009-04-14,61.96665954589844
2009-04-15,62.62786865234375
2009-04-16,63.54613494873047
2009-04-17,63.97223663330078
2009-04-20,61.290836334228516
2009-04-21,62.48826217651367
2009-04-22,62.106285095214844
2009-04-23,62.71599197387695
2009-04-24,63.66367721557617
2009-04-27,63.06130599975586
2009-04-28,62.86293029785156
2009-04-29,64.19998931884766
2009-04-30,64.22200775146484
2009-05-01,64.56729888916016
2009-05-04,66.76385498046875
2009-05-05,66.5361099243164
2009-05-06,67.68951416015625
2009-05-07,66.7491683959961
2009-05-08,68.30657196044922
2009-05-11,67.02833557128906
2009-05-12,66.82998657226562
2009-05-13,65.14766693115234
2009-05-14,65.70600128173828
2009-05-15,65.16971588134766
2009-05-18,67.02099609375
2009-05-19,66.940185546875
2009-05-20,66.49201965332031
2009-05-21,65.53704071044922
2009-05-22,65.39743041992188
2009-05-26,67.07240295410156
2009-05-27,65.87496185302734
2009-05-28,66.79325866699219
2009-05-29,67.97603607177734
2009-06-01,69.6216049194336
2009-06-02,69.68035125732422
2009-06-03,68.7988052368164
2009-06-04,69.44528198242188
2009-06-05,69.46002197265625
2009-06-08,69.17350006103516
2009-06-09,69.5261001586914
2009-06-10,69.34977722167969
2009-06-11,69.6583251953125
2009-06-12,69.849365234375
2009-06-15,68.2478256225586
2009-06-16,67.32218170166016
2009-06-17,67.25605773925781
2009-06-18,67.74828338623047
2009-06-19,67.99796295166016
2009-06-22,65.9589614868164
2009-06-23,66.01068115234375
2009-06-24,66.57951354980469
2009-06-25,68.02754211425781
2009-06-26,67.85022735595703
2009-06-29,68.48555755615234
2009-06-30,67.93150329589844
2009-07-01,68.21223449707031
2009-07-02,66.35050201416016
2009-07-06,66.3431167602539
2009-07-07,65.05760955810547
2009-07-08,65.01327514648438
